config,library,reference,path,max_abs_diff,agrees
online_shoppers_f17_t100_th1,lightgbm,lgb_sklearn,lgb_booster,0.0,True
online_shoppers_f17_t100_th1,lightgbm,lgb_sklearn,lgb_onnx,1.1478230807840384e-07,True
online_shoppers_f17_t100_th1,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
online_shoppers_f17_t100_th1,xgboost,xgb_sklearn,xgb_inplace,0.0,True
online_shoppers_f17_t100_th1,xgboost,xgb_sklearn,xgb_onnx,2.384185791015625e-07,True
online_shoppers_f17_t100_th1,catboost,cat_sklearn,cat_onnx,1.6420786312643099e-07,True
online_shoppers_f17_t500_th1,lightgbm,lgb_sklearn,lgb_booster,0.0,True
online_shoppers_f17_t500_th1,lightgbm,lgb_sklearn,lgb_onnx,3.5213431692771024e-07,True
online_shoppers_f17_t500_th1,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
online_shoppers_f17_t500_th1,xgboost,xgb_sklearn,xgb_inplace,0.0,True
online_shoppers_f17_t500_th1,xgboost,xgb_sklearn,xgb_onnx,4.76837158203125e-07,True
online_shoppers_f17_t500_th1,catboost,cat_sklearn,cat_onnx,2.995395810279078e-07,True
online_shoppers_f17_t1000_th1,lightgbm,lgb_sklearn,lgb_booster,0.0,True
online_shoppers_f17_t1000_th1,lightgbm,lgb_sklearn,lgb_onnx,1.8627664610804118e-07,True
online_shoppers_f17_t1000_th1,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
online_shoppers_f17_t1000_th1,xgboost,xgb_sklearn,xgb_inplace,0.0,True
online_shoppers_f17_t1000_th1,xgboost,xgb_sklearn,xgb_onnx,3.5762786865234375e-07,True
online_shoppers_f17_t1000_th1,catboost,cat_sklearn,cat_onnx,3.9327196055261027e-07,True
synthetic_f20_t100_th1,lightgbm,lgb_sklearn,lgb_booster,0.0,True
synthetic_f20_t100_th1,lightgbm,lgb_sklearn,lgb_onnx,1.3685557351261757e-07,True
synthetic_f20_t100_th1,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
synthetic_f20_t100_th1,xgboost,xgb_sklearn,xgb_inplace,0.0,True
synthetic_f20_t100_th1,xgboost,xgb_sklearn,xgb_onnx,1.4901161193847656e-07,True
synthetic_f20_t100_th1,catboost,cat_sklearn,cat_onnx,8.41892354996876e-08,True
synthetic_f100_t100_th1,lightgbm,lgb_sklearn,lgb_booster,0.0,True
synthetic_f100_t100_th1,lightgbm,lgb_sklearn,lgb_onnx,1.5401779629442558e-07,True
synthetic_f100_t100_th1,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
synthetic_f100_t100_th1,xgboost,xgb_sklearn,xgb_inplace,0.0,True
synthetic_f100_t100_th1,xgboost,xgb_sklearn,xgb_onnx,2.384185791015625e-07,True
synthetic_f100_t100_th1,catboost,cat_sklearn,cat_onnx,1.367259731543946e-07,True
online_shoppers_f17_t100_th2,lightgbm,lgb_sklearn,lgb_booster,0.0,True
online_shoppers_f17_t100_th2,lightgbm,lgb_sklearn,lgb_onnx,9.982092102900353e-08,True
online_shoppers_f17_t100_th2,xgboost,xgb_sklearn,xgb_dmatrix,0.0,True
online_shoppers_f17_t100_th2,xgboost,xgb_sklearn,xgb_inplace,0.0,True
online_shoppers_f17_t100_th2,xgboost,xgb_sklearn,xgb_onnx,1.7881393432617188e-07,True
online_shoppers_f17_t100_th2,catboost,cat_sklearn,cat_onnx,1.0693364907443659e-07,True
